id,couse_code,couse_name,couse_year,couse_detail,created_at,updated_at,user_id
134,,ศิลปะ และนาฏศิลป์,2562,วิชาศิลปะ และนาฏศิลป์ กลุ่มสาระศิลปะ,2019-09-06 06:41:25.214953,2019-09-06 06:41:25.214953,292
135,,ศิลปะ,2562,"",2019-09-06 06:41:50.138739,2019-09-06 06:41:50.138739,318
136,,ภาษาอังกฤษ,2562,วิชาภาษาอังกฤษ กลุ่มสาระภาษาต่างประเทศ,2019-09-06 06:42:14.048096,2019-09-06 06:42:14.048096,292
137,,ภาษามลายู,2562,วิชาภาษามลายู กลุ่มสาระภาษาต่างประเทศ,2019-09-06 06:42:41.237821,2019-09-06 06:42:41.237821,292
138,,เรียนรู้ศึกษาด้วยต้นเอง,2562,วิชาบูรณาการ กลุ่มสาระสังคมศึกษา ศาสนา และวัฒนธรรม,2019-09-06 06:43:30.078629,2019-09-06 06:43:30.078629,292
139,,การศึกษาเพื่อการเรียนรู้ ป.2,2562,โครงงานฐานวิจัย,2019-09-06 06:43:31.802799,2019-09-06 06:43:31.802799,319
140,,ภาษาไทย,2562,ตอบคำถามได้ถูกต้อง ลายมือสวยงาม  ,2019-09-06 06:47:33.097477,2019-09-06 06:47:33.097477,320
141,,ภาษาไทย,2562,ตอบคำถามได้ถูกต้อง ลายมือสวยงาม  ,2019-09-06 06:49:35.330468,2019-09-06 06:49:35.330468,320
142,,ใบงาน  myfarm,2562,จำนวนนักเรียน 22  คน,2019-09-06 06:54:12.073143,2019-09-06 06:54:12.073143,317
143,,ใบงาน  myfarm,2562,จำนวนนักเรียน 22  คน,2019-09-06 06:54:50.403437,2019-09-06 06:54:50.403437,317
144,,ดนตรี,2562,โน้ตสากล,2019-09-06 06:56:28.200593,2019-09-06 06:56:28.200593,318
145,,ภาษาไทย,2562,"",2019-09-06 06:58:26.240615,2019-09-06 06:58:26.240615,322
146,,สอบปลายภาค,2562,จำนวนนักเรียน 22  คน,2019-09-06 07:00:37.990885,2019-09-06 07:00:37.990885,317
147,,โครงงานฐานวิจัย,2562,"",2019-09-06 07:00:56.947555,2019-09-06 07:00:56.947555,321
148,,math,2562,"",2019-09-06 07:14:11.903512,2019-09-06 07:14:11.903512,322
127,,โครงงานฐานวิจัย ป.6,2562,"",2019-09-06 06:37:00.695812,2019-09-06 07:20:00.126794,301
149,,English 1,2562,listening speaking,2019-09-06 08:34:05.454146,2019-09-06 08:34:05.454146,316
150,,คณิตศาสตร์พื้นฐาน 3 ,2563,ม.5/1,2020-07-05 04:38:57.213107,2020-07-05 04:38:57.213107,354
151,,สังคม1,2563,555,2020-08-23 06:59:08.219098,2020-08-23 06:59:08.219098,8
